v0,f_v0,fp_v0,regime,mean_field_power
0.35,0.307125,0.6325000000000001,unstable limit cycle,0.10749374999999999
0.5,0.375,0.25,unstable limit cycle,0.1875
0.5773502691896258,0.3849001794597505,-2.220446049250313e-16,stable extraction,0.22222222222222227
0.65,0.375375,-0.26750000000000007,stable extraction,0.24399375
0.75,0.328125,-0.6875,stable extraction,0.24609375
0.9,0.17099999999999993,-1.4300000000000002,stable extraction,0.15389999999999995
1.1,-0.23100000000000032,-2.630000000000001,stable injection,-0.2541000000000004
