A,speed,T,duration_cycles,mean_work,power_mean,power_std,P_positive_estimate,mean_cycle_success
1.5,1.35,4.444444444444444,10,-1.294023342757717,-0.2911552521204864,0.011805285834156685,0.0,0.0
1.5,1.55,3.8709677419354835,10,0.09815895478176757,0.02535772998528996,0.012463648666389004,1.0,0.7
1.5,1.75,3.4285714285714284,10,0.49432034546078446,0.14417676742606214,0.007403400559023889,1.0,0.9
1.5,1.95,3.076923076923077,10,0.028438829339760413,0.009242619535422134,0.02224515601873948,0.625,0.4875
1.5,2.15,2.7906976744186047,10,-0.10981946182927516,-0.039351973822156924,0.009724605819020174,0.0,0.4
1.5,1.35,4.444444444444444,20,-1.2881108261930256,-0.28982493589343084,0.008759210386390073,0.0,0.0
1.5,1.55,3.8709677419354835,20,0.10549703958837137,0.027253401893662606,0.009606263008785719,1.0,0.6937500000000001
1.5,1.75,3.4285714285714284,20,0.5080669888385569,0.14818620507791244,0.0064211941299620375,1.0,0.8875
1.5,1.95,3.076923076923077,20,0.09062099197893783,0.02945182239315479,0.019071063298354805,1.0,0.5
1.5,2.15,2.7906976744186047,20,-0.13615510463981353,-0.04878891249593319,0.010619087791045683,0.0,0.40625
1.5,1.35,4.444444444444444,40,-1.3038408219306437,-0.29336418493439487,0.005062234244112717,0.0,0.0
1.5,1.55,3.8709677419354835,40,0.09007086315518213,0.023268306315088718,0.005583453158370737,1.0,0.65625
1.5,1.75,3.4285714285714284,40,0.49535839827628086,0.14447953283058193,0.0038487615684120236,1.0,0.8968750000000001
1.5,1.95,3.076923076923077,40,0.13549601251945237,0.04403620406882201,0.014325694591128292,1.0,0.534375
1.5,2.15,2.7906976744186047,40,-0.12367153481678567,-0.04431563330934819,0.00948747589752208,0.0,0.428125
1.5,1.35,4.444444444444444,80,-1.3062277938797588,-0.29390125362294583,0.0033835405513322862,0.0,0.0
1.5,1.55,3.8709677419354835,80,0.08858102384840008,0.02288343116083669,0.003520808986752933,1.0,0.6578125
1.5,1.75,3.4285714285714284,80,0.4977961910387149,0.1451905557196252,0.0022669771958572843,1.0,0.8968750000000001
1.5,1.95,3.076923076923077,80,0.14125251652146736,0.0459070678694769,0.012085568353505083,1.0,0.5265625
1.5,2.15,2.7906976744186047,80,-0.11687142916803653,-0.04187892878521309,0.005375170123605,0.0,0.41874999999999996
